竇	jcgwc
竃	jcgwu
窵	jchaf
鷏	jchaf
鴪	jchaf
竊	jchdb
窸	jchdp
窖	jchgr
窌	jchhl
窮	jchhn
竆	jchhr
窆	jchio
穾	jchk
窳	jchoo
窂	jchq
竅	jchsk
竁	jchuu
窊	jchvo
窗	jchwe	jchw'e
窗	jchwk	jchw'k
窗	jchwn
窻	jchwp
竄	jchxv
戭	jci
梥	jcid
窚	jcihs
突	jcik
窓	jcip
窢	jcirm
窴	jcjbc
窙	jcjkd
窦	jcjnk
竂	jckcf
究	jckn
穷	jcks
帘	jclb
窜	jcll
窶	jcllv
窕	jclmo
空	jcm
顛	jcmbc
顮	jcmbc
颠	jcmbo
穻	jcmd
窒	jcmig
窍	jcmms
竀	jcmmu
窉	jcmob
窛	jcmuv
穿	jcmvh
穹	jcn
穵	jcn
窞	jcnhx
穸	jcni	jcn'i
窿	jcnlm
歕	jcno
窑	jcoju
窱	jcold
窬	jcomn
容	jcor
窄	jcos
窽	jcpko
窇	jcpru
窃	jcpsh
窀	jcpu
窎	jcpym
窫	jcqhk
窺	jcqou
窥	jcqou
窝	jcrob
窷	jcsjl
窘	jcskr
翸	jcsmm
窟	jcsuu
窯	jctgf
穽	jctt
嚢	jcttv
窋	jcuu
窈	jcvis
窹	jcvmr
窼	jcvvd
窠	jcwd
窧	jcyaj
竉	jcybp
窔	jcyck
窣	jcyoj
窨	jcyta
未	jd
宋	jd
鵓	jdhaf
守	jdi
勃	jdks
郣	jdnl
教	jdok
鹁	jdpym
支	je
麲	jebuu
宻	jecu
檕	jed
麬	jedhe
