麳	jedoo
麨	jefh
墼	jeg
麮	jegi
鳷	jehaf
麰	jeihq
麱	jeijb
轚	jejwj
攰	jeks
蟿	jelmi
頍	jembc
麪	jemls
礊	jemr
麵	jemwl	jemw'l
麫	jemys
罊	jeoju
麧	jeon
麴	jepfd
麭	jepru
擊	jeq
撃	jeq
麩	jeqo
寖	jese
攳	jesmi
翅	jesmm
麯	jetw
麷	jeujt
繫	jevif
繋	jevif
麶	jeyub
灾	jf
宵	jfb
宩	jfd
叜	jfe
鶎	jfhaf
亊	jfln
鶴	jghaf
審	jhdw
客	jher
宷	jhfd
宪	jhgu
宎	jhk
宂	jhn
寙	jhoo
宅	jhp
牢	jhq
宒	jhqu
愙	jhrp
宂	jhu
寫	jhxf
博	jibi
栽	jid
專	jidi
烖	jif
鷒	jihaf
宬	jihs
載	jijwj
宊	jik
寪	jikf
宠	jikp
载	jikq
蛓	jilmi
剸	jiln
韯	jilsm
酨	jimcw
臷	jimig
甎	jimvn
鄟	jinl
胾	jiobo
截	jiog
惠	jip
哉	jir
翝	jismm
戴	jiwtc
裁	jiyhv
卄	jj
艹	jj
廾	jj
輼	jjabt
輰	jjamh
輥	jjapp
輵	jjapv
朝	jjb
輣	jjbb
寘	jjbc
輖	jjbgr	jjb'gr
轁	jjbhx
輞	jjbtv	jjb'tv
輍	jjcor
韓	jjdmq
輟	jjeee
軽	jjeg
輎	jjfb
轔	jjfdq
輄	jjfmu
輘	jjgce
轖	jjgow
轅	jjgrv
輈	jjhby
轓	jjhdw
