疼	khey
狄	khf
獙	khfbk
獜	khfdq
猟	khfhn
獟	khggu
狤	khgr
猿	khgrv
獓	khgsk
狛	khha
獔	khhaj
獆	khhaj
猘	khhbn
猁	khhdn
狢	khher
狅	khhg
獯	khhgf
狧	khhjr
獢	khhkb
奅	khhl
猦	khhni	khhn'i
狌	khhqm
獅	khhrb
猵	khhsb
猏	khhsb
獥	khhsk
獋	khhuj
狐	khhvo
瘤	khhw
猈	khhwj
獀	khhxe
獡	khhxf
猊	khhxu
犷	khi
狼	khiav
猼	khibi
狻	khice
狁	khihu
狨	khij
犾	khik
狵	khikh
犹	khiku
疺	khio
猵	khisb
猏	khisb
獷	khitc
狵	khiuh
狘	khiv
狱	khivk
犻	khjb
狖	khjc
狩	khjdi
瘇	khjg
獑	khjjl
猪	khjka
狫	khjkp
獱	khjmc
猔	khjmf
狞	khjmn
獰	khjpn
狜	khjr
猢	khjrb
獖	khjtc
獠	khkcf
狶	khkkb
猗	khkmr
犰	khkn
犱	khkni
狹	khkoo
狭	khkt
狆	khl
狮	khllb
狒	khlln
独	khlmi
狣	khlmo
猅	khlmy
狟	khmam
獳	khmbb
獶	khmbe
獿	khmce
獮	khmfb
狉	khmfm
狂	khmg
獂	khmhf
犴	khmj
狋	khmmf
獗	khmto
犽	khmvh
獬	khnbq
猻	khndf
狲	khndf
猛	khndt
犼	khndu
疫	khne
狝	khnf
狃	khng
峱	khngu
獝	khnhb
猱	khnhd
瘋	khni	khn'i
