尴	kulit
尵	kulmc
剦	kuln
尪	kumg
尯	kunmu
尮	kunsd
尬	kuoll
尥	kupi
鹌	kupym
尷	kusit
尷	kusmt
尲	kutxc
癵	kvfb
癴	kvfq
兂	kvu
癰	kvug
奋	kw
癦	kwgg
痼	kwjr	kw'jr
瘝	kwle
瘝	kwlf
癏	kwlv
痹	kwml
瘟	kwot
痐	kwr	kw'r
瘰	kwvf
癳	kwwf
冭	ky
疰	kyg
奯	kymh
疵	kymp
瘁	kyoj
瘧	kypm
痁	kyr
瘯	kysk
瘀	kysy
瘖	kyta
瘴	kytj
癔	kytp
癕	kyvg
痃	kyvi
痎	kyvo
奒	kyvo
癛	kywd
癝	kywf
癠	kyx
中	l
丨	l
旧	la
衵	la
裮	laa
褞	labt
児	lahu
袒	lam
褆	lamo
襇	lana
襉	lanb
襴	lanw
裼	laph
裩	lapp
褐	lapv
襊	lase
褟	lasm
襮	late
裉	lav
巾	lb
帇	lb
帽	lbabu
幌	lbafu
幱	lbanw
幆	lbapv
帊	lbau
幔	lbawe
幜	lbayf
幎	lbbac
幍	lbbhx
帨	lbcru
帉	lbcsh
帔	lbdhe
帓	lbdj
幃	lbdmq
帩	lbfb
幥	lbfbq
幬	lbgni
裯	lbgr	lb'gr
帕	lbha
幯	lbhal
幡	lbhdw
帆	lbhni	lbhn'i
帙	lbhqo
幒	lbhwp
幮	lbigi
帴	lbii
幓	lbiih
帗	lbike
帗	lbikk
褌	lbjj
帾	lbjka
幏	lbjmo
帵	lbjnu
