装	lgyhv
袙	lha
襖	lhbk
裇	lhbt
襷	lhcq
襎	lhdw
袶	lheq
袼	lher
衽	lhg
衫	lhhh
袾	lhjd
褈	lhjg
袄	lhk
凣	lhn
裄	lhon
褷	lhoo
袛	lhpm
袟	lhqo
褊	lhsb
襸	lhuc
襣	lhul
袛	lhvi
衹	lhvp
裨	lhwj
裑	lhxh
褫	lhyn
褫	lhyu
亅	li
蚎	lia
蝹	liabt
蝐	liabu
蝞	liahu
蝍	liail
蝪	liamh
蝭	liamo
蜴	liaph
蜫	liapp
蝎	liapv
蚆	liau
蛝	liav
蠍	liavo
蟃	liawe
蚏	lib
螟	libac
螖	libbb
蝸	libbr	libb'r
蠳	libcv
蛶	libdi
蜩	libgr	lib'gr
蟡	libhf
览	libhu
蚬	libhu
蛧	libkk	lib'kk
蛆	libm
蝯	libme
蚦	libmm
蜉	libnd
褦	libp
监	libt
蛊	libt
蝄	libtv	lib'tv
蛽	libuc
蠼	libue
蠷	libug
蜆	libuu
螇	libvk
蚒	liby
鉴	lic
蚣	lici
螉	licim
蚥	lick
蛻	licru
蜕	licru
蚡	licsh
蝉	licwj
蚞	lid
蜙	lidci
蚾	lidhe
蜥	lidhl
蚗	lidk
蝲	lidln
蝀	lidw
蝃	lieee
蛏	lieg
蟝	liesd
蛸	lifb
蟐	lifbb
螳	lifbg
蟷	lifbw
蝼	lifdv
蠑	liffd
蟧	liffs
蝋	lifhn
蜷	lifqu
蚺	ligb
蛙	ligg
蟯	liggu
蜐	ligis
蛣	ligr
蟢	ligrr
