蜔	lipw
蚌	liqj
蝽	liqka
螓	liqkd
蜯	liqkq
蜻	liqmb
螦	liqmf
蝳	liqmy
蚨	liqo
蜎	lirb
蝇	lirlu
蜈	lirmk
蜗	lirob
蟬	lirrj
蝦	lirse
蟤	liruc
蜈	lirvk
蠅	lirxu
门	lis
蝘	lisav	lis'av
褊	lisb
蠾	lisei
蠮	lisem
虭	lish
蛁	lishr
蜛	lisjr
蠗	lismg
蟉	lismh
蟳	lismi
蛡	lismm
蚇	liso
蚭	lisp
螞	lisqf
蟶	lisrg
蚷	liss
裓	lit
蜡	lita
蟆	litak
褯	litb
蝾	litbd
蠓	litbo
蟖	litcl
螠	litct
蝤	litcw
蟻	litgi
蜣	litgu
蟒	litit
蠎	litkj
蠎	litkt
蟎	litlb
蟥	litlc
蝧	litlk
蟏	litll
螼	litlm
蠨	litlx
蚶	litm	lit'm
螨	litmb
蜞	litmc
蜹	litob
蠖	litoe
蠂	litpd
蛘	litq
蝆	litq
蜣	litqu
蠸	litrg
蛢	litt
蟮	littr
螆	litvi
蛐	litw
螬	litwa
蠴	litwa
蠇	litwb
蠛	litwi
螊	litxc
虬	liu
蝬	liuce
螘	liumt
蜬	liune	liu'ne
蠵	liuob
袯	live
蟣	livii
蚴	livis
虯	livl
蝝	livno
蠟	livvv
蝟	liwb
蜾	liwd
蟔	liwgf
蜠	liwhd	liw'hd
蟈	liwim	liw'im
蠋	liwli
蠌	liwlj
蝿	liwlu
蠉	liwlv
蝈	liwmi	liw'mi
蝹	liwot
蛔	liwr	liw'r
蜖	liwsl	liw'sl
螺	liwvf
蠝	liwww
